CTUID,City,Population,Land Area (km),Tree Count,Basal Area Sum,DED Sus Tree Count,DED Sus Basal Area,DED Tree Count,DED Basal Area,EAB Tree Count,EAB Basal Area,Tree Count Per Capita,Basal Area Sum Per Capita,DED Sus Tree Count Per Capita,DED Sus Basal Area Per Capita,DED Tree Count Per Capita,DED Basal Area Per Capita,EAB Tree Count Per Capita,EAB Basal Area Per Capita,Tree Count Proportion,Basal Area Sum Proportion,DED Sus Tree Count Proportion,DED Sus Basal Area Proportion,DED Tree Count Proportion,DED Basal Area Proportion,EAB Tree Count Proportion,EAB Basal Area Proportion
6020542,Winnipeg,3114,3.99,518,54.96708294,470,50.25012762,350,34.08942306,264,31.9508574,0.166345536,0.0176516,0.150931278,0.016136843,0.112395633,0.010947149,0.08477842,0.010260391,6.83E-07,6.19E-07,8.67E-07,1.11E-06,7.51E-07,1.04E-06,4.98E-07,4.42E-07
6020550,Winnipeg,2663,0.88,593,127.794476,391,72.15108516,320,48.30076482,483,110.0144338,0.222681187,0.047988913,0.146826887,0.027093911,0.120165227,0.018137726,0.18137439,0.041312217,9.14E-07,1.68E-06,8.43E-07,1.87E-06,8.02E-07,1.72E-06,1.07E-06,1.78E-06
6020551,Winnipeg,6180,1.7,3351,543.8252543,1617,210.263361,1156,90.32822568,2693,489.2612386,0.54223301,0.087997614,0.261650485,0.034023198,0.187055016,0.014616218,0.435760518,0.079168485,2.23E-06,3.09E-06,1.50E-06,2.34E-06,1.25E-06,1.39E-06,2.56E-06,3.41E-06
6020552.01,Winnipeg,5503,2.07,3195,531.7531065,2681,449.9236942,1127,77.95165686,2766,506.8394331,0.580592404,0.096629676,0.487188806,0.081759712,0.204797383,0.014165302,0.502634926,0.092102387,2.38E-06,3.39E-06,2.80E-06,5.63E-06,1.37E-06,1.34E-06,2.95E-06,3.97E-06
6020552.02,Winnipeg,4106,1.01,1643,304.3329967,1419,269.1872891,559,40.95868854,1446,292.9103747,0.400146128,0.074119093,0.345591817,0.065559496,0.136142231,0.009975326,0.35216756,0.071337159,1.64E-06,2.60E-06,1.99E-06,4.51E-06,9.09E-07,9.46E-07,2.07E-06,3.07E-06
6020553,Winnipeg,4688,1.32,1522,291.0867544,986,166.1256089,476,43.9619796,1264,270.8263404,0.324658703,0.062091884,0.210324232,0.03543635,0.101535836,0.009377555,0.269624573,0.057770124,1.33E-06,2.18E-06,1.21E-06,2.44E-06,6.78E-07,8.89E-07,1.58E-06,2.49E-06
6020560.01,Winnipeg,5423,1.3,1684,94.8610047,1569,94.09618218,1544,92.89640514,345,9.4200876,0.310529227,0.017492348,0.289323253,0.017351315,0.284713258,0.017130077,0.063617924,0.001737062,1.27E-06,6.14E-07,1.66E-06,1.19E-06,1.90E-06,1.62E-06,3.74E-07,7.48E-08
6020560.04,Winnipeg,6238,1.43,1613,156.248497,1547,154.6527213,1530,151.3458731,810,89.46035868,0.258576467,0.025047851,0.247996153,0.024792036,0.24527092,0.024261923,0.129849311,0.014341192,1.06E-06,8.79E-07,1.42E-06,1.71E-06,1.64E-06,2.30E-06,7.63E-07,6.18E-07
6020560.05,Winnipeg,3741,0.84,800,64.05541758,738,61.76786154,720,59.90080866,297,19.32861546,0.213846565,0.017122539,0.197273456,0.016511056,0.192461909,0.016011978,0.079390537,0.005166698,8.78E-07,6.01E-07,1.13E-06,1.14E-06,1.29E-06,1.52E-06,4.66E-07,2.23E-07
6020560.08,Winnipeg,4080,0.92,1050,15.23338278,938,14.70441588,870,14.3594682,514,4.46821914,0.257352941,0.003733672,0.229901961,0.003604024,0.213235294,0.003519478,0.125980392,0.001095152,1.06E-06,1.31E-07,1.32E-06,2.48E-07,1.42E-06,3.34E-07,7.40E-07,4.72E-08
6020560.09,Winnipeg,3435,1.36,773,3.14639094,636,2.53511412,570,2.04078336,663,2.81141784,0.22503639,0.00091598,0.185152838,0.000738024,0.165938865,0.000594115,0.1930131,0.000818462,9.24E-07,3.21E-08,1.06E-06,5.08E-08,1.11E-06,5.63E-08,1.13E-06,3.52E-08
6020560.1,Winnipeg,5707,9.8,788,29.25662124,683,27.38352078,654,26.00663604,439,12.72654306,0.138076047,0.005126445,0.119677589,0.004798234,0.11459611,0.004556971,0.076923077,0.002229988,5.67E-07,1.80E-07,6.87E-07,3.30E-07,7.65E-07,4.32E-07,4.52E-07,9.60E-08
6020560.11,Winnipeg,4850,5.23,1056,61.32976542,912,59.68702278,809,40.9751034,621,38.57696304,0.217731959,0.012645312,0.188041237,0.012306603,0.166804124,0.008448475,0.128041237,0.007954013,8.94E-07,4.44E-07,1.08E-06,8.47E-07,1.11E-06,8.01E-07,7.52E-07,3.43E-07
6020560.12,Winnipeg,5453,2.01,1966,70.01503278,1731,45.67658634,1594,39.6422796,696,37.13206266,0.360535485,0.012839727,0.317439941,0.008376414,0.292316156,0.007269811,0.127636164,0.006809474,1.48E-06,4.51E-07,1.82E-06,5.77E-07,1.95E-06,6.89E-07,7.50E-07,2.93E-07
6020560.13,Winnipeg,2742,1.37,829,20.46014124,733,19.31267184,660,17.59405956,440,9.9600501,0.302334063,0.007461758,0.267323122,0.007043279,0.240700219,0.006416506,0.160466813,0.003632403,1.24E-06,2.62E-07,1.54E-06,4.85E-07,1.61E-06,6.08E-07,9.43E-07,1.56E-07
6020560.14,Winnipeg,2705,0.83,527,22.33960344,518,22.29719184,504,21.09576546,73,2.1790923,0.194824399,0.008258633,0.191497227,0.008242954,0.186321627,0.007798804,0.026987061,0.000805579,8.00E-07,2.90E-07,1.10E-06,5.68E-07,1.24E-06,7.39E-07,1.59E-07,3.47E-08
6020560.15,Winnipeg,4906,0.93,1321,127.6464281,1168,107.4242631,1006,82.25038668,568,65.21466798,0.269262128,0.026018432,0.238075826,0.021896507,0.205055035,0.016765264,0.1157766,0.013292839,1.11E-06,9.13E-07,1.37E-06,1.51E-06,1.37E-06,1.59E-06,6.80E-07,5.72E-07
7050001.01,Regina,3173,1.29,3322,636.5314355,852,97.67524998,808,91.14119322,2724,567.6857848,1.046958714,0.20060871,0.2685156,0.030783249,0.254648598,0.028723981,0.858493539,0.178911372,8.80E-06,1.22E-05,4.96E-06,7.75E-06,5.12E-06,8.15E-06,9.64E-06,1.27E-05
